Project: 43-648_TMCJ_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner: INCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site: Site of Interest 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing option : All elements analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,Absolute stage X (mm).,Absolute stage Y (mm).,Stage X (mm).,Stage Y (mm).,Beam X (mm).,Beam Y (mm).,Weight% C K_SERIES,Weight% N K_SERIES,Weight% O K_SERIES,Weight% Al K_SERIES,Weight% Si K_SERIES,Weight% P K_SERIES,Weight% S K_SERIES,Weight% V K_SERIES,Weight% Cr K_SERIES,Weight% Mn K_SERIES,Weight% Fe K_SERIES,Weight% Ni K_SERIES,Weight% Nb L_SERIES,Weight% Mo L_SERIES,Weight%Total,Atomic% C K_SERIES,Atomic% N K_SERIES,Atomic% O K_SERIES,Atomic% Al K_SERIES,Atomic% Si K_SERIES,Atomic% P K_SERIES,Atomic% S K_SERIES,Atomic% V K_SERIES,Atomic% Cr K_SERIES,Atomic% Mn K_SERIES,Atomic% Fe K_SERIES,Atomic% Ni K_SERIES,Atomic% Nb L_SERIES,Atomic% Mo L_SERIES,Apparent conc.% C K_SERIES,Apparent conc.% N K_SERIES,Apparent conc.% O K_SERIES,Apparent conc.% Al K_SERIES,Apparent conc.% Si K_SERIES,Apparent conc.% P K_SERIES,Apparent conc.% S K_SERIES,Apparent conc.% V K_SERIES,Apparent conc.% Cr K_SERIES,Apparent conc.% Mn K_SERIES,Apparent conc.% Fe K_SERIES,Apparent conc.% Ni K_SERIES,Apparent conc.% Nb L_SERIES,Apparent conc.% Mo L_SERIES,k ratio C K_SERIES,k ratio N K_SERIES,k ratio O K_SERIES,k ratio Al K_SERIES,k ratio Si K_SERIES,k ratio P K_SERIES,k ratio S K_SERIES,k ratio V K_SERIES,k ratio Cr K_SERIES,k ratio Mn K_SERIES,k ratio Fe K_SERIES,k ratio Ni K_SERIES,k ratio Nb L_SERIES,k ratio Mo L_SERIES,Intensity correction C K_SERIES,Intensity correction N K_SERIES,Intensity correction O K_SERIES,Intensity correction Al K_SERIES,Intensity correction Si K_SERIES,Intensity correction P K_SERIES,Intensity correction S K_SERIES,Intensity correction V K_SERIES,Intensity correction Cr K_SERIES,Intensity correction Mn K_SERIES,Intensity correction Fe K_SERIES,Intensity correction Ni K_SERIES,Intensity correction Nb L_SERIES,Intensity correction Mo L_SERIES,Standard C K_SERIES,Standard N K_SERIES,Standard O K_SERIES,Standard Al K_SERIES,Standard Si K_SERIES,Standard P K_SERIES,Standard S K_SERIES,Standard V K_SERIES,Standard Cr K_SERIES,Standard Mn K_SERIES,Standard Fe K_SERIES,Standard Ni K_SERIES,Standard Nb L_SERIES,Standard Mo L_SERIES,Peak area Noise 1,Peak area Noise 2,Peak area Noise 3,Peak area C K_SERIES,Peak area N K_SERIES,Peak area O K_SERIES,Peak area Al K_SERIES,Peak area Si K_SERIES,Peak area P K_SERIES,Peak area S K_SERIES,Peak area V K_SERIES,Peak area V L_SERIES,Peak area Cr K_SERIES,Peak area Cr L_SERIES,Peak area Mn K_SERIES,Peak area Mn L_SERIES,Peak area Fe K_SERIES,Peak area Fe L_SERIES,Peak area Ni K_SERIES,Peak area Ni L_SERIES,Peak area Nb L_SERIES,Peak area Nb M_SERIES,Peak area Mo L_SERIES,Peak area Mo M_SERIES,Peak area sigma Noise 1,Peak area sigma Noise 2,Peak area sigma Noise 3,Peak area sigma C K_SERIES,Peak area sigma N K_SERIES,Peak area sigma O K_SERIES,Peak area sigma Al K_SERIES,Peak area sigma Si K_SERIES,Peak area sigma P K_SERIES,Peak area sigma S K_SERIES,Peak area sigma V K_SERIES,Peak area sigma V L_SERIES,Peak area sigma Cr K_SERIES,Peak area sigma Cr L_SERIES,Peak area sigma Mn K_SERIES,Peak area sigma Mn L_SERIES,Peak area sigma Fe K_SERIES,Peak area sigma Fe L_SERIES,Peak area sigma Ni K_SERIES,Peak area sigma Ni L_SERIES,Peak area sigma Nb L_SERIES,Peak area sigma Nb M_SERIES,Peak area sigma Mo L_SERIES,Peak area sigma Mo M_SERIES,Fit index Noise 1,Fit index Noise 2,Fit index Noise 3,Fit index C K_SERIES,Fit index N K_SERIES,Fit index O K_SERIES,Fit index Al K_SERIES,Fit index Si K_SERIES,Fit index P K_SERIES,Fit index S K_SERIES,Fit index V K_SERIES,Fit index V L_SERIES,Fit index Cr K_SERIES,Fit index Cr L_SERIES,Fit index Mn K_SERIES,Fit index Mn L_SERIES,Fit index Fe K_SERIES,Fit index Fe L_SERIES,Fit index Ni K_SERIES,Fit index Ni L_SERIES,Fit index Nb L_SERIES,Fit index Nb M_SERIES,Fit index Mo L_SERIES,Fit index Mo M_SERIES,Elevation (deg.),Tilt (deg.),Azimuth (deg.),Livetime (s),kV,Process time,Acqusition date/time,Optimization line,Optimization area,Optimization date/time,Number of iterations
"Grid Spectrum(11,5)",,,-0.398,-0.2275,0.051306,0.0125933,4.966588,1.630885,25.28064,0.2100248,0.2690052,2.80E-02,0.2087777,0.5045458,9.709905,0.2388667,52.8154,0.2420911,0.2357124,0.5646487,96.90509,12.55281,3.534598,47.96861,0.236297,0.2907586,0.0274397,0.1976644,0.3006675,5.669006,0.1319911,28.7093,0.1251782,7.70E-02,0.1786654,2.880291,0.625828,39.023,0.1456786,0.2180828,3.48E-02,0.1996843,0.4874149,9.984296,0.2141372,47.57547,0.2100347,0.1761558,0.4317328,1.33E-02,6.26E-03,0.1400574,1.07E-03,1.76E-03,2.06E-04,1.75E-03,4.87E-03,9.98E-02,2.14E-03,0.4757547,2.10E-03,1.76E-03,4.32E-03,0.5801519,0.3838057,1.543704,0.6936274,0.8107018,1.243653,0.9564444,0.9660462,1.028274,0.8964707,0.900712,0.8675848,0.7473336,0.7646036,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,341,-158,115,317,110,5204,82,117,13,102,117,804,2038,703,36,-323,6708,2616,19,-217,69,-88,165,109,118,177,89,66,87,204,47,50,60,128,48,324,90,357,51,262,139,182,30,67,127,53,256,66,0.09,0.1,0.1,0.65,1.2,1.2,0.97,0.69,0.57,0.53,0.65,1.16,0.54,1.15,1.1,1.29,1.35,1.32,0.64,1.17,0.58,0.89,0.55,0.88,30,0,0,0.97,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(1,6)",,,-0.398,-0.2275,-0.0597015,0.0046642,0.5804388,0.6237957,16.36358,0.1589617,0.2650216,-0.175868,-4.77E-02,0.3130365,17.77743,0.7271355,43.78123,-0.1830596,-0.2929633,0.6415327,80.53256,2.129393,1.962346,45.06756,0.2595952,0.415786,-0.2501888,-6.56E-02,0.2707681,15.06529,0.5832046,34.54352,-0.1373912,-0.1389466,0.2946439,0.3262136,0.2738934,28.71092,0.1084066,0.2133766,-0.2190527,-4.61E-02,0.3065699,18.32375,0.672995,40.12169,-0.1627389,-0.220342,0.4951186,1.51E-03,2.74E-03,0.1030464,7.99E-04,1.72E-03,-1.30E-03,-4.05E-04,3.07E-03,0.1832375,6.73E-03,0.4012169,-1.63E-03,-2.20E-03,4.95E-03,0.5620191,0.4390815,1.754715,0.6819675,0.8051297,1.245552,0.9653431,0.9793422,1.03074,0.9255424,0.9164082,0.8889939,0.7521148,0.7717748,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,428,-358,178,27,37,2919,46,87,-62,-18,56,276,2851,200,87,-87,4313,895,-11,-152,-65,3,144,2,102,158,82,35,51,139,34,37,47,98,41,199,98,232,53,164,111,111,25,45,96,31,193,38,0,0,0,0.21,0.68,0.78,0.11,0.2,0.21,0.35,0.99,0.6,0.52,0.66,0.42,0.68,0.49,1.17,0.32,1.52,0.31,0.48,0.31,0.42,30,0,0,0.74,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(2,6)",,,-0.398,-0.2275,-0.0536381,0.0046642,1.066838,0.2845293,15.92309,8.31E-02,0.4476701,-9.38E-02,-0.1874621,0.490373,16.63548,-2.60E-02,42.76308,-3.08E-02,-0.1240164,1.022721,78.25478,4.004325,0.915782,44.86884,0.1388206,0.7185854,-0.13646,-0.2635761,0.4339711,14.42367,-2.14E-02,34.52068,-2.37E-02,-6.02E-02,0.4805821,0.5918112,0.1195761,27.08823,0.0568614,0.3616027,-0.1168217,-0.1809431,0.4786588,17.13061,-2.41E-02,39.16653,-2.74E-02,-0.0932774,0.7892126,2.74E-03,1.20E-03,9.72E-02,4.19E-04,2.92E-03,-6.92E-04,-1.59E-03,4.79E-03,0.1713061,-2.41E-04,0.3916653,-2.74E-04,-9.33E-04,7.89E-03,0.5547509,0.4202631,1.701365,0.6843842,0.8077448,1.246038,0.965225,0.9761115,1.029773,0.9239409,0.9158888,0.8887129,0.7521377,0.7716799,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,701,-530,307,96,31,5296,47,284,-63,-136,169,891,5126,921,-6,-290,8097,1859,-4,-250,-53,22,442,14,144,222,115,53,73,197,46,57,59,132,56,284,132,330,70,234,152,159,33,68,126,49,260,60,0.06,0.06,0.07,0.98,1.57,1.58,0.51,0.58,0.39,0.32,0.47,1.34,0.52,1.38,0.5,1.63,0.56,2.4,0.44,2.75,0.45,1.1,0.46,1.07,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(3,6)",,,-0.398,-0.2275,-0.0419776,0.0046642,2.075808,4.85E-02,26.37936,0.1827054,0.39098,-2.18E-02,-0.4244026,0.5110727,16.18971,0.4176709,52.57415,-0.4607129,0.5455086,1.602609,100.0112,5.544646,0.1111937,52.89775,0.2172416,0.4466121,-2.26E-02,-0.4246452,0.3218641,9.989299,0.2439087,30.20218,-0.2517585,0.1883752,0.5359123,1.159607,1.98E-02,44.61022,0.1265583,0.31771,-2.72E-02,-0.4088551,0.4932613,16.50015,0.3798741,47.70029,-0.4051167,0.4102024,1.23426,5.36E-03,1.98E-04,0.1601105,9.32E-04,0.0025623,-1.61E-04,-3.59E-03,4.93E-03,0.1650015,3.80E-03,0.4770029,-4.05E-03,4.10E-03,0.0123426,0.5586644,0.4085446,1.691461,0.6926914,0.8125998,1.249359,0.9633662,0.9651488,1.019182,0.9095051,0.9072605,0.8793257,0.7519634,0.7701563,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,473,-328,224,187,5,8722,104,249,-15,-307,174,1878,4937,1250,95,-581,9861,3493,-53,-381,234,-119,691,107,145,223,117,70,96,256,59,68,77,162,58,374,133,432,71,310,168,212,38,79,161,59,321,72,0.13,0.13,0.14,0.23,0.52,0.64,0.34,0.22,0.24,0.3,0.99,0.67,0.84,0.66,0.91,0.97,1.03,1.52,0.75,1.88,0.46,0.41,0.56,0.39,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(4,6)",,,-0.398,-0.2275,-0.0303172,0.0046642,1.962392,0.6976063,25.02745,0.140636,0.4581941,5.00E-02,-0.2305051,0.5302811,16.91312,3.42E-02,52.03471,-0.2592307,0.1756143,1.038775,98.57333,5.322261,1.622388,50.95811,0.1697899,0.5314338,5.26E-02,-0.2341814,0.3390937,10.59604,0.0203048,30.35169,-0.1438348,6.16E-02,0.3527047,1.114468,0.2937516,42.40459,9.71E-02,0.3714666,6.24E-02,-0.2216031,0.5120214,17.25581,3.11E-02,47.14734,-0.2276778,0.1317508,0.7983744,5.15E-03,2.94E-03,0.1521943,7.15E-04,3.00E-03,3.69E-04,-1.95E-03,5.12E-03,0.1725581,3.11E-04,0.4714734,-2.28E-03,1.32E-03,7.98E-03,0.5679508,0.421097,1.694604,0.6904011,0.8107198,1.246228,0.9613808,0.9655657,1.02027,0.9096525,0.9060507,0.8782824,0.7502283,0.7685732,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,476,-171,136,180,76,8291,80,291,34,-166,181,1307,5163,1112,8,-552,9746,2927,-30,-388,75,-14,447,62,132,198,98,65,90,242,57,66,77,167,61,352,134,406,71,288,168,197,39,79,167,55,333,67,0.13,0.13,0.14,0.74,1.43,1.64,0.31,0.6,0.54,0.49,0.57,1.6,0.86,1.66,0.81,1.92,0.6,2.46,0.45,2.45,0.53,1.03,0.5,1,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(5,6)",,,-0.398,-0.2275,-0.0186567,0.0046642,8.496588,2.632022,28.14889,0.2525343,0.475477,9.37E-02,4.10E-02,0.3381188,12.56409,0.5000387,57.25111,0.4122394,0.382841,0.5740477,112.1627,17.75175,4.715419,44.15139,0.234867,0.4248304,7.59E-02,3.21E-02,0.1665594,6.063692,0.2284056,25.72527,0.176203,0.1034072,0.1501496,5.057869,0.9445086,41.03899,0.1772754,0.3885028,0.1169133,3.93E-02,0.3232991,12.74053,0.4455092,51.16082,0.3558992,0.2864814,0.4390743,2.34E-02,9.45E-03,0.147293,1.31E-03,3.13E-03,6.92E-04,3.45E-04,3.23E-03,0.1274053,4.46E-03,0.5116082,3.56E-03,2.86E-03,4.39E-03,0.5952383,0.3588646,1.458434,0.7019843,0.8170784,1.247616,0.956804,0.95617,1.014044,0.8909491,0.893541,0.863331,0.7483032,0.7648731,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,425,-120,117,817,243,8024,146,305,63,29,114,1731,3812,1391,111,-441,10576,3550,46,-494,164,-177,246,175,147,223,114,91,116,258,61,70,81,168,58,427,119,447,66,321,176,221,39,86,166,70,333,87,0.28,0.29,0.28,2.35,3.59,3.09,0.36,0.26,0.29,0.62,0.58,3.33,0.44,3.06,0.6,2.73,0.63,3.46,0.85,3.67,0.43,2.57,0.43,2.46,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,4
"Grid Spectrum(6,6)",,,-0.398,-0.2275,-0.0069963,0.0046642,10.87135,1.330552,28.93588,0.1947266,0.2232755,2.74E-02,1.287438,9.29E-02,9.903347,9.07E-02,45.55454,0.3718466,2.51E-02,0.4584509,99.36752,23.29208,2.444503,46.54229,0.1857185,0.2045761,2.28E-02,1.033267,4.69E-02,4.901352,4.25E-02,20.99113,0.162988,6.94E-03,0.1229694,6.489223,0.4293387,41.094,0.1396617,0.1848699,3.44E-02,1.233037,8.70E-02,9.819898,7.93E-02,39.98371,0.3164787,1.88E-02,0.3509746,3.00E-02,4.29E-03,0.1474905,1.03E-03,1.49E-03,2.04E-04,1.08E-02,8.70E-04,9.82E-02,7.93E-04,0.3998371,3.16E-03,1.88E-04,3.51E-03,0.596886,0.3226745,1.420176,0.7172191,0.8279904,1.25702,0.9577447,0.935985,0.9915738,0.8742892,0.8777174,0.8511003,0.7509409,0.7655665,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,552,-381,228,1048,111,8035,115,145,19,926,31,1233,2938,886,20,-698,8266,2984,41,-342,11,-143,196,130,143,217,111,97,120,253,60,65,82,201,53,439,106,437,60,309,156,214,37,88,181,72,395,90,0.56,0.58,0.52,2.33,4.8,4.73,0.59,1.09,0.83,0.39,0.52,4.41,0.27,4.26,0.42,3.79,0.67,4.17,0.85,3.68,0.86,3.51,0.8,3.14,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,5
"Grid Spectrum(7,6)",,,-0.398,-0.2275,0.0046642,0.0046642,9.916317,1.642622,30.69046,0.3880768,0.4630395,-7.75E-02,1.125735,0.3277546,9.73588,0.467591,47.84781,9.78E-02,0.5007693,-0.4381301,102.6882,20.71222,2.942035,48.12449,0.3608269,0.4136029,-6.28E-02,0.8807929,0.1614092,4.697434,0.213525,21.49402,4.18E-02,0.1352226,-0.1145668,5.885927,0.5535037,44.08521,0.278,0.3825581,-0.0971454,1.076421,0.3078325,9.685182,0.4092349,42.06856,8.33E-02,0.3752797,-0.3348789,2.72E-02,5.54E-03,0.1582262,2.05E-03,3.09E-03,-5.75E-04,9.46E-03,3.08E-03,9.69E-02,4.09E-03,0.4206856,8.33E-04,3.75E-03,-3.35E-03,0.5935391,0.3369607,1.436457,0.7163529,0.8261889,1.253192,0.9561948,0.9392166,0.9947928,0.8751985,0.8792205,0.8521057,0.7494065,0.7643366,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,626,-431,245,951,143,8620,229,300,-53,809,109,1244,2898,828,102,-525,8696,3304,11,-363,214,-230,-187,256,143,215,108,97,121,257,62,70,77,188,54,443,107,440,61,310,160,212,38,88,171,71,369,89,0.19,0.19,0.21,0.91,1.95,2.07,0.48,0.75,0.99,0.84,0.68,1.78,0.52,1.77,0.47,2.08,0.64,3,0.59,3.39,0.92,1.44,0.97,1.29,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,5
"Grid Spectrum(8,6)",,,-0.398,-0.2275,0.0163246,0.0046642,6.399605,1.765802,24.55321,0.2073981,0.4626937,0.1732015,0.1947151,0.4448037,11.39902,0.5328152,50.24673,0.1116897,0.5719786,0.7391779,97.80283,15.75193,3.726977,45.37069,0.227243,0.4870389,0.1653157,0.179532,0.2581382,6.481229,0.2867237,26.59916,5.62E-02,0.1820103,0.2277766,3.69377,0.6370429,36.16536,0.1456422,0.3785531,0.216457,0.1865991,0.4259137,11.56395,0.4764154,45.05047,9.68E-02,0.4285426,0.5662791,1.71E-02,6.37E-03,0.1298011,1.07E-03,3.05E-03,1.28E-03,1.64E-03,4.26E-03,0.1156395,4.76E-03,0.4505047,9.68E-04,4.29E-03,5.66E-03,0.5775427,0.3608575,1.472991,0.7022366,0.8181519,1.249741,0.9583181,0.9575311,1.01448,0.8941454,0.8964812,0.866652,0.7492279,0.766092,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,487,-258,202,597,164,7071,120,297,117,140,150,1078,3460,999,119,-368,9313,2783,13,-271,245,-123,317,88,147,226,117,80,100,228,54,65,73,161,57,374,114,390,64,275,165,188,37,76,155,62,317,78,0.22,0.23,0.24,1.67,2.43,2.22,0.11,0.35,0.68,0.75,1.13,2.62,0.8,2.3,1.07,2.81,0.84,2.95,0.54,2.77,0.72,1.78,0.84,1.76,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(9,6)",,,-0.398,-0.2275,0.0279851,0.0046642,2.602925,1.260462,17.11082,0.2080602,0.2361312,-2.07E-02,-1.38E-02,0.4339608,7.838944,0.3782456,55.61615,-0.2697581,0.3919702,0.5683381,86.34176,8.4693,3.516818,41.79679,0.3013561,0.3285705,-2.61E-02,-1.68E-02,0.3329198,5.891864,0.2690705,38.9194,-0.1795674,0.1648824,0.2315112,1.433728,0.4981152,27.0615,0.1406199,0.1883619,-2.55E-02,-1.32E-02,0.4326037,8.369174,0.3471388,51.38433,-0.238067,0.2922501,0.4348185,6.63E-03,4.98E-03,9.71E-02,1.04E-03,1.52E-03,-1.51E-04,-1.16E-04,4.33E-03,8.37E-02,3.47E-03,0.5138433,-2.38E-03,2.92E-03,4.35E-03,0.550887,0.3952168,1.581642,0.675863,0.7977014,1.234834,0.9569417,0.9968725,1.06766,0.9177596,0.923879,0.8825201,0.7455929,0.7650701,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,526,-171,112,232,128,5291,116,148,-14,-10,153,987,2504,813,87,-271,10622,2507,-31,-359,167,-104,243,50,130,191,92,62,81,201,50,56,65,141,56,309,102,349,60,255,174,178,36,70,133,51,276,64,0.25,0.26,0.28,0.7,1.05,0.91,0.52,0.63,0.67,0.31,0.79,1.1,0.42,0.92,0.46,1.32,0.76,2.03,0.79,2.88,0.67,0.79,0.65,0.76,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(10,6)",,,-0.398,-0.2275,0.0396455,0.0046642,1.894474,0.2554323,20.66057,0.2389797,0.2550233,2.21E-02,2.54E-03,0.4759898,11.5428,0.3770629,52.9417,0.1994451,-0.1847372,0.2600634,88.94148,5.893387,0.6813751,48.25084,0.3309348,0.3392701,2.67E-02,2.96E-03,0.3491219,8.294628,0.2564463,35.42041,0.1269307,-0.0742961,0.1012826,1.070967,0.1080522,35.85223,0.1619625,0.2037365,2.73E-02,2.43E-03,0.4688979,12.09936,0.3450646,48.51712,0.175591,-0.1377202,0.1988779,4.95E-03,1.08E-03,0.1286772,1.19E-03,1.64E-03,1.62E-04,2.13E-05,4.69E-03,0.1209936,3.45E-03,0.4851712,1.76E-03,-1.38E-03,1.99E-03,0.5653396,0.4230205,1.735507,0.6777258,0.7988942,1.235253,0.9565331,0.9851008,1.048229,0.9151376,0.9164039,0.8803974,0.7454926,0.7647288,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,373,-84,126,173,28,7010,133,160,15,2,166,1428,3620,1057,86,-344,10030,3069,23,-291,-79,-76,111,99,141,215,110,64,87,230,53,61,74,154,58,336,114,391,64,283,171,195,38,78,153,56,305,69,0.03,0.03,0.03,0.37,0.64,0.71,0.67,0.68,0.4,0.32,0.48,0.64,0.7,0.64,1.01,1,1.33,1.95,1.23,2.51,0.29,0.46,0.31,0.47,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(11,6)",,,-0.398,-0.2275,0.051306,0.0046642,2.874543,0.9466901,19.14727,0.3035338,0.3254705,-8.79E-02,0.1654033,0.4556071,8.863417,0.2108452,56.59497,0.6013148,-0.2947561,-0.461028,89.64536,8.773741,2.477752,43.8742,0.4124089,0.4248317,-0.104067,0.1891131,0.327876,6.249228,0.1406974,37.15122,0.3754784,-0.1163092,-0.1761662,1.607653,0.3834507,31.4759,0.2048259,0.2588933,-0.1081526,0.1576816,0.4522262,9.416229,0.192825,52.04917,0.5287176,-0.2189473,-0.3513803,7.43E-03,3.83E-03,0.1129702,1.51E-03,2.09E-03,-6.40E-04,1.39E-03,4.52E-03,9.42E-02,1.93E-03,0.5204917,5.29E-03,-2.19E-03,-3.51E-03,0.5593433,0.4050654,1.644017,0.6748062,0.7954443,1.230048,0.9533156,0.9925793,1.062389,0.914533,0.91965,0.8792683,0.7428081,0.7621669,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,375,-165,143,187,71,4431,121,146,-42,85,115,674,2029,422,35,-227,7747,1850,49,-345,-90,-22,-142,56,128,198,102,54,73,181,45,47,55,118,47,276,91,311,51,226,148,156,30,63,113,46,232,57,0,0,0,0.16,0.68,0.8,0.36,0.2,0.35,0.66,0.61,0.67,1.06,0.74,0.85,1.13,0.63,1.95,0.3,2.54,0.7,0.46,0.89,0.39,30,0,0,1.03,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
